system:index,Aridity_AbundanceScaled,CECSOL_AbundanceCutScaled,CHELSA_bio10_15_AbundanceCutScaled,CHELSA_bio10_7_AbundanceCutScaled,CLYPPT_AbundanceCutScaled,ORCDRC_AbundanceCutScaled,PETyr_AbundanceScaled,PHIHOX_AbundanceCutScaled,SLTPPT_AbundanceCutScaled,Snow_newValues_WGS84,elevation_AbundanceScaled,.geo
00000000000000000a45_0,-0.08775711,0.92894256,-1.089384,-1.5071822,0.04971995,1.1661172,0.2890769,-0.89195263,0.25592825,0.0,3.737675,
000000000000000018e1_0,0.49416396,-1.1384273,-0.96858466,-0.5950526,-2.0056024,1.1845481,-0.9764015,-1.1917973,-2.4805171,0.0,-0.66866297,
000000000000000018da_0,0.45682263,-1.5163707,-1.0491174,-0.5950526,-1.9669311,-0.47862536,-0.936678,-0.76399565,-2.3311002,0.0,-0.6769768,
0000000000000000111d_0,0.5215321,-0.32890025,-1.008851,-0.5950526,-2.0435078,2.7016506,-0.9934259,-0.8706262,-2.6795194,0.0,-0.6700486,
0000000000000000111e_0,0.5215321,-0.32890025,-1.008851,-0.5950526,-2.0435078,2.7016506,-0.9934259,-0.8706262,-2.6795194,0.0,-0.6700486,
000000000000000000c2_0,0.5679188,0.6292452,-0.5256539,-2.2007809,2.1038935,-0.7564628,1.2339296,0.47718418,-0.2914931,0.0,-0.68529063,
000000000000000000c3_0,0.5679188,0.6292452,-0.5256539,-2.2007809,2.1038935,-0.7564628,1.2339296,0.47718418,-0.2914931,0.0,-0.68529063,
000000000000000000c4_0,0.5679188,0.6292452,-0.5256539,-2.2007809,2.1038935,-0.7564628,1.2339296,0.47718418,-0.2914931,0.0,-0.68529063,
00000000000000000db2_0,2.9635594,-0.53017485,2.574861,-1.336158,0.7783486,-0.21729314,1.1942061,-0.934605,-0.63991225,0.0,0.37056768,
00000000000000001a88_0,0.39721575,-1.1152978,-1.2101833,0.5261068,-0.64253473,-0.873237,0.013849512,-0.9772573,0.7702925,0.0,-0.50238603,
00000000000000001a8a_0,0.3816762,-1.1403956,-1.2101833,0.5261068,-0.35460562,-0.81794465,0.036548674,-0.6134333,1.0023516,0.0,-0.50238603,
00000000000000001a9d_0,0.39721575,-1.1152978,-1.2101833,0.5261068,-0.64253473,-0.873237,0.013849512,-0.9772573,0.7702925,0.0,-0.50238603,
00000000000000001a9f_0,0.3816762,-1.1403956,-1.2101833,0.5261068,-0.35460562,-0.81794465,0.036548674,-0.6134333,1.0023516,0.0,-0.50238603,
00000000000000001a89_0,0.37216693,-1.0168751,-1.2504497,0.5261068,-0.35460562,-0.83073616,0.04506086,-0.61428666,0.91970974,0.0,-0.521785,
00000000000000001a9e_0,0.37216693,-1.0168751,-1.2504497,0.5261068,-0.35460562,-0.83073616,0.04506086,-0.61428666,0.91970974,0.0,-0.521785,
00000000000000001509_0,-0.18540108,-1.4445219,0.23940821,-1.1651337,2.9680629,-0.7975882,1.5176691,-0.6782649,-1.7175653,0.0,0.19459128,
0000000000000000150c_0,-0.18540108,-1.4445219,0.23940821,-1.1651337,2.9680629,-0.7975882,1.5176691,-0.6782649,-1.7175653,0.0,0.19459128,
0000000000000000150f_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014ec_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014ed_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014ee_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014ef_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014f0_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014f1_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014f2_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014f3_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000014f4_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
00000000000000001507_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
00000000000000001508_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
0000000000000000150a_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
0000000000000000150b_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
0000000000000000150d_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
0000000000000000150e_0,-0.18888009,-1.4440299,0.23940821,-1.1651337,2.7953823,-0.8183573,1.5318561,-0.61386,-1.6841779,0.0,0.16410717,
000000000000000003f3_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003f4_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003f5_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003f6_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003f7_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003f8_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003f9_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003fa_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003fb_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003fc_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003fd_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003fe_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
000000000000000003ff_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000400_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000401_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000402_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000403_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000404_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000405_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000406_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000407_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000408_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000409_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000040a_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000040b_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000040c_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000040d_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000040e_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000040f_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000410_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000411_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000412_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000413_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000414_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000415_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000416_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000417_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000418_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000419_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000041a_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000041b_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000041c_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000041d_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000041e_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000041f_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000420_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000421_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000422_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000423_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000424_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000425_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000426_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000427_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000428_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000429_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000042a_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000042b_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000042c_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000042d_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000042e_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000042f_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000430_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000431_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
00000000000000000432_0,0.034007963,-1.0744524,2.2124631,-1.1651337,1.4319317,-0.7288166,1.1970435,-0.54988116,-1.5023652,0.0,1.5345058,
0000000000000000077e_0,2.1260476,-0.35301375,-0.7269861,-1.1651337,-0.4112726,0.4911924,-1.2686533,-0.50722945,0.28865448,0.0,-0.6395645,
0000000000000000077f_0,2.1260476,-0.35301375,-0.7269861,-1.1651337,-0.4112726,0.4911924,-1.2686533,-0.50722945,0.28865448,0.0,-0.6395645,
00000000000000000780_0,2.1260476,-0.35301375,-0.7269861,-1.1651337,-0.4112726,0.4911924,-1.2686533,-0.50722945,0.28865448,0.0,-0.6395645,
00000000000000000781_0,2.1260476,-0.35301375,-0.7269861,-1.1651337,-0.4112726,0.4911924,-1.2686533,-0.50722945,0.28865448,0.0,-0.6395645,
00000000000000000782_0,2.1260476,-0.35301375,-0.7269861,-1.1651337,-0.4112726,0.4911924,-1.2686533,-0.50722945,0.28865448,0.0,-0.6395645,
00000000000000000783_0,2.1260476,-0.35301375,-0.7269861,-1.1651337,-0.4112726,0.4911924,-1.2686533,-0.50722945,0.28865448,0.0,-0.6395645,
