system:index,CECSOL_BiomassCutScaled,CHELSA_bio10_12_BiomassCutScaled,CHELSA_bio10_15_BiomassCutScaled,CHELSA_bio10_7_BiomassCutScaled,CLYPPT_BiomassCutScaled,ORCDRC_BiomassCutScaled,PETyr_BiomassScaled,PHIHOX_BiomassCutScaled,SLTPPT_BiomassCutScaled,Snow_newValues_WGS84,elevation_BiomassScaled,.geo
00000000000000000e47_0,0.57948554,-0.9190789,2.5754943,0.29221582,1.0571809,-0.9978712,1.4314271,1.5172014,0.78022444,0.0,-0.90833324,
00000000000000000e43_0,0.23091343,-0.89209694,2.5754943,0.29221582,0.4818134,-0.63463867,1.497693,1.4268827,0.70127976,0.0,-0.8823567,
00000000000000000e44_0,0.23091343,-0.89209694,2.5754943,0.29221582,0.4818134,-0.63463867,1.497693,1.4268827,0.70127976,0.0,-0.8823567,
00000000000000000aa4_0,-0.5760809,-0.76798004,1.2030298,-0.35878375,0.33232895,-0.9878963,0.57991207,0.77353525,-0.50246596,0.0,-0.7926196,
00000000000000000aa2_0,-0.4667669,-0.5629173,1.2030298,-1.0622835,0.4252018,-0.6627387,0.14587134,0.57088107,-0.15384698,0.0,-0.77845055,
00000000000000000f39_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f3a_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f3b_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f3c_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f3d_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f98_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f99_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f9a_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f9b_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f9c_0,-0.26689383,-0.21395095,1.2030298,-0.24328397,0.50031394,-0.95225424,1.3022089,1.3590317,0.1151959,0.0,-0.39352554,
00000000000000000f6b_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000f6c_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000f6d_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000f6e_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000f6f_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000fca_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000fcb_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000fcc_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000fcd_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000fce_0,-0.29288274,-0.2373353,1.2030298,-0.24328397,0.2220655,-0.88449794,1.292269,1.29163,-0.39162788,0.0,-0.367549,
00000000000000000f66_0,-0.29315054,-0.24453048,1.2030298,-0.24328397,0.2220655,-0.9332776,1.292269,1.2911812,-0.20152949,0.0,-0.372272,
00000000000000000f67_0,-0.29315054,-0.24453048,1.2030298,-0.24328397,0.2220655,-0.9332776,1.292269,1.2911812,-0.20152949,0.0,-0.372272,
