system:index,Aridity_RichnessScaled,CECSOL_RichnessCutScaled,CHELSA_bio10_15_RichnessCutScaled,CHELSA_bio10_7_RichnessCutScaled,CLYPPT_RichnessCutScaled,ORCDRC_RichnessCutScaled,PETyr_RichnessScaled,PHIHOX_RichnessCutScaled,SLTPPT_RichnessCutScaled,Snow_newValues_WGS84,elevation_RichnessScaled,.geo
00000000000000000103_0,2.088645,0.4076365,-0.7998348,-1.2580478,-0.29598215,2.0387418,-1.1041523,-1.2105638,0.06518595,0.0,-0.15781097,
00000000000000000128_0,2.088645,0.4076365,-0.7998348,-1.2580478,-0.29598215,2.0387418,-1.1041523,-1.2105638,0.06518595,0.0,-0.15781097,
0000000000000000013b_0,2.088645,0.4076365,-0.7998348,-1.2580478,-0.29598215,2.0387418,-1.1041523,-1.2105638,0.06518595,0.0,-0.15781097,
00000000000000001530_0,-0.050081275,-0.9715377,-0.096858345,-1.2483122,4.371658,-0.7815393,1.8267002,-0.3863356,-1.5530492,0.0,0.64383256,
00000000000000000678_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
00000000000000000679_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000067a_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000067b_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000067c_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000067d_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000067e_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000067f_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
00000000000000000680_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
00000000000000000681_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
00000000000000000682_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
00000000000000000683_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
00000000000000000684_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
